Target Image,Generated Image,SSIM,PSNR,LPIPS
data/EuRoC/V101/mav0/cam0/data/1403715408162142976.png,video/IGEV/V101-cam0-1403715407662142976_novel_view.png,0.43647625708590093,28.676189582666783,0.2762783169746399
data/EuRoC/V101/mav0/cam0/data/1403715403612143104.png,video/IGEV/V101-cam0-1403715403112143104_novel_view.png,0.547184988741342,28.69942128621048,0.26608842611312866
data/EuRoC/MH02/mav0/cam0/data/1403636904801666560.png,video/IGEV/MH02-cam0-1403636904301666560_novel_view.png,0.2797732881592991,28.808638377890667,0.3279661536216736
data/EuRoC/MH02/mav0/cam0/data/1403637002701666560.png,video/IGEV/MH02-cam0-1403637002201666560_novel_view.png,0.18717781292485636,28.52498847071766,0.4310467839241028
data/EuRoC/MH05/mav0/cam0/data/1403638618127829504.png,video/IGEV/MH05-cam0-1403638617627829504_novel_view.png,0.3501519586314976,28.472875025580965,0.412320077419281
data/EuRoC/MH05/mav0/cam0/data/1403638520977829376.png,video/IGEV/MH05-cam0-1403638520477829376_novel_view.png,0.48066518699730504,29.575819898838436,0.22229818999767303
data/EuRoC/MH03/mav0/cam0/data/1403637182338319104.png,video/IGEV/MH03-cam0-1403637181838319104_novel_view.png,0.355789715822227,28.227319676395442,0.3843882083892822
data/EuRoC/MH03/mav0/cam0/data/1403637176838319104.png,video/IGEV/MH03-cam0-1403637176338319104_novel_view.png,0.20286726633968713,28.109254865432362,0.45995640754699707
data/EuRoC/V103/mav0/cam0/data/1403715961084058112.png,video/IGEV/V103-cam0-1403715960584058112_novel_view.png,0.6457277971839581,27.756856835791268,0.3196703791618347
data/EuRoC/V103/mav0/cam0/data/1403715906084058112.png,video/IGEV/V103-cam0-1403715905584058112_novel_view.png,0.5729200002042536,27.785190926393845,0.28980857133865356
data/EuRoC/MH04/mav0/cam0/data/1403638136695097088.png,video/IGEV/MH04-cam0-1403638136195097088_novel_view.png,0.4617857564858803,29.522286647751834,0.3353816568851471
data/EuRoC/MH04/mav0/cam0/data/1403638162345096960.png,video/IGEV/MH04-cam0-1403638161845096960_novel_view.png,0.22384410354109044,28.293066810408156,0.4292694926261902
data/EuRoC/V102/mav0/cam0/data/1403715560762142976.png,video/IGEV/V102-cam0-1403715560262142976_novel_view.png,0.6067476225969199,27.903183128221105,0.2702486217021942
data/EuRoC/V102/mav0/cam0/data/1403715597612143104.png,video/IGEV/V102-cam0-1403715597112143104_novel_view.png,0.5478141846697345,28.096940997237823,0.29170456528663635
data/EuRoC/MH01/mav0/cam0/data/1403636658513555456.png,video/IGEV/MH01-cam0-1403636658013555456_novel_view.png,0.2700403379766526,28.455635787131285,0.45602819323539734
data/EuRoC/MH01/mav0/cam0/data/1403636734563555584.png,video/IGEV/MH01-cam0-1403636734063555584_novel_view.png,0.19239852590590922,28.466768386368404,0.38416749238967896
data/EuRoC/V202/mav0/cam0/data/1413393888505760512.png,video/IGEV/V202-cam0-1413393888005760512_novel_view.png,0.6631593601862923,30.730604726312155,0.1893633008003235
data/EuRoC/V202/mav0/cam0/data/1413393981605760512.png,video/IGEV/V202-cam0-1413393981105760512_novel_view.png,0.45235267365598114,28.400609236177104,0.27217426896095276
data/EuRoC/V201/mav0/cam0/data/1413393231905760512.png,video/IGEV/V201-cam0-1413393231405760512_novel_view.png,0.5276394046802052,28.88305768103306,0.2579367756843567
data/EuRoC/V201/mav0/cam0/data/1413393289855760384.png,video/IGEV/V201-cam0-1413393289355760384_novel_view.png,0.5282128942135068,30.112220884555615,0.23057204484939575
data/EuRoC/V203/mav0/cam0/data/1413394973405760512.png,video/IGEV/V203-cam0-1413394972855760384_novel_view.png,0.44646179676440917,28.10195296789377,0.3453579545021057
data/EuRoC/V203/mav0/cam0/data/1413394991955760384.png,video/IGEV/V203-cam0-1413394991455760384_novel_view.png,0.48539598007706214,27.65499148673655,0.3220658302307129
Average,,0.4302084960383622,28.60263062207931,0.32609507780183444
